candidate_id,smiles
cand-0000,COC(=O)C(=O)C(=N)N
cand-0001,CNC(=O)C(=O)CC#N
cand-0002,C#CCC(=O)C(=O)CO
cand-0003,CCC(=O)N(C)C(=O)N
cand-0004,CNC(=[NH2+])C(N)C([O-])=O
cand-0005,COC(=O)C(O)C(C)=O
cand-0006,COC(=O)C(O)C(N)=O
cand-0007,OCC(=O)C(O)C1CN1
cand-0008,CN(CC=O)C(=O)OC
cand-0009,CNC(=O)N(C=O)C=O
cand-0010,CNC(=O)C12CCC1O2
cand-0011,CNC(=O)C1=NCCO1
cand-0012,COC(=O)C1C(C)C1O
cand-0013,CCC(=O)N1C2CCC12
cand-0014,COC(=O)C1CC(=O)C1
cand-0015,CNC(=O)N1CC1C#C
cand-0016,CNC(=O)N1CC2CC12
cand-0017,COC(=O)C1CC=CC1
cand-0018,CNC(=O)C1CCCO1
cand-0019,C1COC(O1)C(=O)CO
cand-0020,COC(=O)NC(C)C#C
cand-0021,OCC(=O)CC(O)C=O
cand-0022,CCC(=O)OC1(CC1)C
cand-0023,CCC(=O)CC1COC1
cand-0024,CC(=O)CNC(=O)NC
cand-0025,CCC(=O)OCC(C)C
cand-0026,CCC(=O)OCC1CN1
cand-0027,CCC(=O)CNCC#N
cand-0028,C(COC(=O)CO)C#N
cand-0029,COC(=O)COCC=O
cand-0030,OCC(C#C)C(=O)C=O
cand-0031,CCC(C#N)C(N)C#N
cand-0032,CN(C=O)C(CO)C#N
cand-0033,CC(C)(CO)C(=O)C#C
cand-0034,CCC(C)(C)C1CC1C
cand-0035,CC#CCC(C)(C)CO
cand-0036,CCC(C)(O)CC(N)=O
cand-0037,CC(C)(CC(=O)N)OC
cand-0038,CC(C)(CO)CC1CO1
cand-0039,CC(CO)(CC#N)C#N
cand-0040,CCC(O)(CC#C)C#C
cand-0041,CNC(C)(CC#C)C#N
cand-0042,CCC(O)(CO)C(C)C
cand-0043,CCC(C)(CO)N1CC1
cand-0044,CC(CC#C)(CO)CO
cand-0045,CCC(C)(CO)CC#C
cand-0046,C(C=O)C(CO)(CO)O
cand-0047,[NH3+]CC(O)C#CC([O-])=O
cand-0048,CC#CC(=O)C(O)CO
cand-0049,CCC(O)C(=O)C(C)=O
cand-0050,CCC(C)C(=O)C1CC1
cand-0051,CC(CO)C(C#C)C#C
cand-0052,CC(CO)C(C)(N)C#N
cand-0053,COC(C)(C)C(O)CO
cand-0054,COC(C)C(C)(C)CO
cand-0055,CCC(C)N(C)C(C)=O
cand-0056,CC(CO)C(O)C1CC1
cand-0057,CCC(O)C(O)CC#N
cand-0058,CCC(O)C(C=O)C#N
cand-0059,CCC(C)N(C=O)C=O
cand-0060,CCC(O)C(OC)C#C
cand-0061,OCC(O)C(CO)C#C
cand-0062,COC(C)C(CO)C=O
cand-0063,CCC(C)C1(C)CCO1
cand-0064,OCC(O)C1(CO1)C#C
cand-0065,COC(C)C1C2CC1C2
cand-0066,CCC(C)C1CN=CO1
cand-0067,CCC(O)C1CC=CC1
cand-0068,OCC(O)C1COC1=O
cand-0069,CCC(C)C1COC1C
cand-0070,OCC(O)C1OCC1O
cand-0071,CCC(C)NC(=O)C=O
cand-0072,CNC(=O)CC(C)CO
cand-0073,CC(CO)CC(O)C#N
cand-0074,CCC(C)NC(C)C#N
cand-0075,CCC(C)CC1(C)CO1
cand-0076,CCC(O)COC(C)C
cand-0077,COC(C)CCC(C)O
cand-0078,C[NH2+]C(C1CO1)C([O-])=O
cand-0079,COC(C1CC1)C(N)=O
cand-0080,CCC(C1CO1)N1CC1
cand-0081,OCC(C=O)C(O)C#N
cand-0082,CCC(C=O)C1NC1C
cand-0083,OCC(C=O)C1CC1O
cand-0084,CCN(CC#N)C(=O)C
cand-0085,CCN(CC#N)C(=O)N
cand-0086,COC(CC#C)C(N)=O
cand-0087,CCC(CC#N)C1CN1
cand-0088,COC(CC#C)C1CN1
cand-0089,CC(=O)OC(CO)C#N
cand-0090,CCC(OC(C)C)C=O
cand-0091,CNC(CO)(C#N)C#N
cand-0092,COC(CO)CC#CC
cand-0093,CCC(CC)OC1CC1
cand-0094,OCC(CO)CC1CN1
cand-0095,CCC(CO)OCC#C
cand-0096,CCC(CC=O)CC#C
cand-0097,CCC(CC=O)CC#N
cand-0098,CN=COC(CO)C#C
cand-0099,COC1(C#C)C(O)C1O
cand-0100,OCC1(O)C2C3C1CN23
cand-0101,OCC1(O)C2C3CC2C13
cand-0102,CC1(CO)C(O)C2CN12
cand-0103,OCC1(O)C2NCC12O
cand-0104,OCC1(O)C=CC2NC12
cand-0105,CC1(CO)OC(=N)C1O
cand-0106,CC1C(=O)CC1(C)CO
cand-0107,CN=C1CC(C)(CO)O1
cand-0108,CC1(CO)OC11COC1
cand-0109,OCC1(O)CC1C1CC1
cand-0110,CCC1(O)CC1CC#N
cand-0111,CCC1(C)CC2(C)CC12
cand-0112,CC1(CO)CC2(CO2)C1
cand-0113,CC12NC1CC2(C)CO
cand-0114,CC1(CO)OC2CNC12
cand-0115,CC1(CO)CC=CC1O
cand-0116,CC1(CO)CNC(=O)N1
cand-0117,CC1=NC(C)(CO)CO1
cand-0118,CC1(C)CCC1(C)CO
cand-0119,CCC1(C)OCC1(C)O
cand-0120,COC1(C)CCC11CC1
cand-0121,CCC1(O)CCC2CC12
cand-0122,COC1(C)CCC2OC12
cand-0123,CCC1(C)CCC=C1C
cand-0124,C1CC1(CC(=O)N)CO
cand-0125,CCC1(CO)C2COC12
cand-0126,COC1(CC(=O)C1)CO
cand-0127,CCC1(CO)CC(O)C1
cand-0128,OCC1(CO)OC2CC12
cand-0129,COC1(CO)CCCO1
cand-0130,OCC1(CN1)C#CC=O
cand-0131,CCC1(CC1)C(C)(C)O
cand-0132,CCC1(CC1)C(N)C#N
cand-0133,NC(C#N)C1(CO)CN1
cand-0134,CCC1(CN1)C(O)C=O
cand-0135,CCC1(CO1)C1CC1C
cand-0136,C1CC1(CO)C2COC2
cand-0137,CNC1(CC1C#N)C#N
cand-0138,CC(C)C1(CO)CC1O
cand-0139,CC1CC1(CO)C1CO1
cand-0140,CCC1(NC1C=O)C#N
cand-0141,OCC1(CN1C=O)C#C
cand-0142,OCC1(CN2CC12)C#C
cand-0143,OCC1(CN2CC12)C=O
cand-0144,CCC1(COC1)C2CC2
cand-0145,C1CC(C1)(CO)C2CC2
cand-0146,COC1(CNC1C)C#N
cand-0147,OCC12C(O)C1C1CN21
cand-0148,CC1C2OC(C)C12CO
cand-0149,CCC12N(C)C3C1OC23
cand-0150,CCC12C3C1C1C3CC21
cand-0151,OCC12C3C1C1C3CN21
cand-0152,CCC12C3C1N1CC3C21
cand-0153,CC12C3C4C1C4(CO)C23
cand-0154,CCC12C3C4C3C1(C)N24
cand-0155,CCC12C3C4C3C1CC24
cand-0156,CC12CC3N(C1)C23CO
cand-0157,COC12C3OC1C(C)C23
cand-0158,CCC12C3CC1CC2C3
cand-0159,CC1C2OC=NC12CO
cand-0160,CCC12C=CCC1C2O
cand-0161,CCC12CC(O)(C1)C=C2
cand-0162,CC1CC2CC1(CO)O2
cand-0163,COC12CC(C1O)C2O
cand-0164,CC12OC1(CO)C1NC21
cand-0165,CCC12CC1(C)CC2=O
cand-0166,CCC12CC1(CN2)C#N
cand-0167,CCC12CC1(OC2)C=O
cand-0168,CC1C2CC2(CO)C1C
cand-0169,CCC12NC1C(O)C2C
cand-0170,CC1CCC2(CO)NC12
cand-0171,COC12CC1C1(CO1)C2
cand-0172,CCC12CC3OC3C1O2
cand-0173,OCC12CC1N1CC1C2
cand-0174,OCC12CC3CC3C1N2
cand-0175,OCC12NC1C1CCC21
cand-0176,CCC12CC1C=C(C)C2
cand-0177,CCC12CC1C=CCC2
cand-0178,CCC12NC1CN1CC21
cand-0179,OCC12CC1CC21CC1
cand-0180,OCC12CN1CC2C#C
cand-0181,OCC12CC1CN2C=O
cand-0182,COC12CC1CCCC2
cand-0183,CCC12CC3C(O1)C23O
cand-0184,COC12CC3N(C1)C23C
cand-0185,OCC12CC3C(C1)N3C2
cand-0186,COC12CC3C1N3CC2
cand-0187,CCC12CC3OC1C3N2
cand-0188,COC12CC3C1C2C3O
cand-0189,CCC12CC3CC1C23C
cand-0190,CCC12NC3CC1OC23
cand-0191,OCC12OC3CCC1C23
cand-0192,CCC12CCC1(O)CC2
cand-0193,COC12CCC1(C)CC2
cand-0194,CCC12CCC1C(=O)C2
cand-0195,CC1CC2(CO)COC12
cand-0196,CCC12CC(O)C1CO2
cand-0197,OCC12COC1CCC2
