mol_id,smiles,mu,alpha,homo,lumo,gap,r2,zpve,cv,u0,u298,h298,g298
gdb_10571,CC1NC1(C#C)C#C,1.4307,75.12,-0.2409,0.0125,0.2534,961.5393,0.115668,31.733,-325.429947,-325.421416,-325.420471,-325.46247
gdb_10607,CCC1(CC1C)OC,1.1649,78.52,-0.2396,0.0846,0.3242,1101.9959,0.197852,36.13,-350.189914,-350.180023,-350.179079,-350.224199
gdb_10610,CCC1(CO)CC1O,1.6266,71.33,-0.2499,0.0693,0.3192,1057.4447,0.175083,35.062,-386.117566,-386.107997,-386.107053,-386.151623
gdb_10616,COC1(CO)CC1O,1.3101,63.75,-0.2349,0.0613,0.2963,983.6735,0.151367,33.222,-422.032788,-422.023641,-422.022697,-422.066369
gdb_10630,CCC1(CN1C)C#C,1.5214,78.69,-0.2289,0.0445,0.2734,1016.5293,0.162675,34.193,-327.862682,-327.853478,-327.852534,-327.895947
gdb_10677,CC(=O)C1(CO1)C=O,1.6486,59.32,-0.2591,-0.0551,0.204,887.6272,0.103397,28.364,-419.674608,-419.666407,-419.665463,-419.708499
gdb_10711,CCC1(CO1)C(N)=O,2.0971,64.18,-0.2459,0.0169,0.2627,930.3439,0.140958,31.542,-401.021636,-401.012991,-401.012047,-401.054905
gdb_10716,NC(=O)C1(CO)CN1,1.7009,61.2,-0.2495,0.0135,0.263,902.8706,0.131676,29.844,-417.065275,-417.057281,-417.056337,-417.097728
gdb_10738,CC(C)(C#N)C1CN1,3.3287,71.16,-0.2553,0.0272,0.2826,931.6938,0.15314,32.066,-343.978179,-343.969439,-343.968494,-344.011034
gdb_10739,CC(C)(C#N)C1CO1,4.2259,67.75,-0.2803,0.0338,0.3141,916.9467,0.140321,31.305,-363.858962,-363.850318,-363.849373,-363.891834
gdb_10767,CC(C)(C1CC1)OC,1.0249,78.18,-0.2447,0.0819,0.3266,1088.9773,0.197657,36.273,-350.184708,-350.174949,-350.174005,-350.219088
gdb_10819,OC1CCC(=O)C=C1,3.5598,67.76,-0.2402,-0.0529,0.1873,975.1101,0.131162,27.831,-383.773041,-383.765688,-383.764744,-383.80468
gdb_10835,CC1COC(=N)OC1,4.9856,66.58,-0.2427,0.0442,0.2868,989.5754,0.143254,28.187,-401.018032,-401.010336,-401.009392,-401.050376
gdb_10869,CC12OC(C1O)C2=O,1.5288,58.35,-0.2519,-0.0254,0.2265,812.2905,0.105067,27.296,-419.618876,-419.611554,-419.61061,-419.650264
gdb_10870,CC1C2CC1(C)C2=O,3.1064,72.53,-0.2326,0.015,0.2476,900.5926,0.15308,30.075,-347.781039,-347.773087,-347.772142,-347.812951
gdb_10974,OC12CC(CC1)C2=O,2.1295,63.89,-0.2343,-0.0084,0.2258,779.8779,0.131554,26.934,-383.745199,-383.738323,-383.737379,-383.775948
gdb_10984,CC12CC(CO1)C2O,2.7331,67.44,-0.2309,0.0702,0.3011,803.229,0.154186,29.141,-384.922303,-384.914956,-384.914012,-384.953252
gdb_11007,CC12CN1C(=N)OC2,4.177,66.23,-0.2549,0.03,0.285,845.5648,0.13157,26.892,-379.917893,-379.910834,-379.90989,-379.948999
gdb_11015,CC12COC(=O)C1N2,3.9447,61.18,-0.2666,-0.0058,0.2609,846.6625,0.120042,25.935,-399.820875,-399.813997,-399.813053,-399.851817
gdb_11022,CC1=CCC2(C)CC12,0.219,80.92,-0.2151,0.0317,0.2468,989.9167,0.177314,31.243,-311.883394,-311.875455,-311.874511,-311.915003
gdb_11116,COC1CC(C1)C#C,0.9078,74.76,-0.2463,0.0504,0.2967,1189.7421,0.152063,31.384,-347.749126,-347.740527,-347.739583,-347.782566
gdb_11143,O=C1CC(C=C1)C#N,2.9462,64.83,-0.2618,-0.07,0.1918,953.6675,0.096479,24.636,-361.509419,-361.502624,-361.50168,-361.540982
gdb_11242,CC1=CCC(C1)C=O,3.0313,75.36,-0.239,-0.0177,0.2213,1159.3606,0.153215,29.63,-347.836752,-347.828585,-347.827641,-347.869922
gdb_11253,CC1NC(C=C1)C#N,3.4247,70.91,-0.2409,-0.0066,0.2344,999.3772,0.131693,28.045,-342.798404,-342.790832,-342.789888,-342.830443
gdb_11254,CC1OC(C=C1)C#C,1.6287,72.66,-0.2464,0.0068,0.2532,1006.3004,0.129072,29.171,-346.571037,-346.563208,-346.562263,-346.603376
gdb_11324,CN=C1CNC(=O)N1,1.4369,65.21,-0.2436,0.0044,0.248,998.6424,0.12008,27.846,-396.041858,-396.033957,-396.033013,-396.074528
gdb_11366,COC1=NCC(=N)N1,3.2916,64.9,-0.2265,0.0159,0.2424,1019.0085,0.119977,27.501,-396.007948,-396.000219,-395.999275,-396.040341
gdb_11416,CCC1COC(=N)C1,3.3556,72.97,-0.2536,0.0333,0.2868,1174.5899,0.166772,29.961,-365.095012,-365.086947,-365.086002,-365.127691
gdb_11449,OCC1OCC(=O)O1,2.2871,53.41,-0.2691,0.0008,0.2699,823.7611,0.107249,25.862,-456.844275,-456.837052,-456.836108,-456.876182
gdb_11473,COC1CC(C)CO1,0.7352,71.33,-0.2579,0.0849,0.3427,1115.3011,0.177351,31.227,-386.150807,-386.142255,-386.141311,-386.184267
gdb_11483,C1CC1CC(=O)C#N,3.6637,66.34,-0.2856,-0.0852,0.2004,1044.9028,0.117899,28.177,-362.668231,-362.660148,-362.659204,-362.701952
gdb_11509,CC(NC1CC1)C#N,4.4142,72.94,-0.2294,0.0301,0.2595,1222.8012,0.153278,31.684,-343.96965,-343.96092,-343.959976,-344.003455
gdb_11553,C1CC1OC(=O)CN,1.7055,65.7,-0.246,0.0143,0.2603,1259.27,0.141304,30.581,-401.007211,-400.998388,-400.997444,-401.042252
gdb_11560,CC(=NC1CC1)OC,0.7276,76.86,-0.2239,0.0327,0.2566,1211.456,0.163739,32.55,-365.055895,-365.04669,-365.045746,-365.090536
gdb_11627,O=C1C2CC1(C2)C#C,2.8543,70.06,-0.2401,0.0044,0.2446,847.6435,0.10664,26.304,-345.337604,-345.330779,-345.329835,-345.368506
gdb_11698,O=CC12CC1C(=O)N2,3.4319,60.91,-0.2577,-0.0478,0.2099,861.0392,0.094411,25.663,-398.596024,-398.588956,-398.588012,-398.627588
