mol_id,smiles,mu,alpha,homo,lumo,gap,r2,zpve,cv,u0,u298,h298,g298
gdb_5,C#N,2.8937,12.99,-0.3604,0.0191,0.3796,48.7476,0.016601,6.278,-93.411888,-93.40937,-93.408425,-93.431246
gdb_17,C1CO1,1.7675,24.04,-0.2682,0.1042,0.3724,129.891,0.057289,9.176,-153.742562,-153.73941,-153.738466,-153.766642
gdb_18,CC(=O)C,2.7362,35.53,-0.2431,-0.0087,0.2344,292.4367,0.083382,16.893,-193.08834,-193.082969,-193.082024,-193.116476
gdb_27,C(=O)C#N,2.3112,26.25,-0.3166,-0.11,0.2066,251.0007,0.02654,11.329,-206.721858,-206.717875,-206.716931,-206.747625
gdb_29,CC#CC,0.0,42.32,-0.2412,0.0684,0.3096,400.2236,0.083896,17.447,-155.908941,-155.90318,-155.902236,-155.937641
gdb_30,CCC#C,0.7067,40.09,-0.2592,0.0566,0.3157,333.9589,0.084338,17.13,-155.897345,-155.892291,-155.891347,-155.924226
gdb_31,CCC#N,3.9233,35.38,-0.3213,0.034,0.3553,314.5335,0.07419,14.988,-172.006141,-172.001467,-172.000523,-172.032826
gdb_34,C(C#N)O,4.6788,28.56,-0.3018,0.0022,0.3039,280.6659,0.050262,13.845,-207.916786,-207.912215,-207.911271,-207.943384
gdb_37,COC=O,3.92,29.47,-0.2814,0.0074,0.2888,293.917,0.061327,13.885,-229.013797,-229.009003,-229.008059,-229.041086
gdb_39,CCCC,0.0,45.71,-0.317,0.0937,0.4107,426.2996,0.131708,19.668,-158.340943,-158.33517,-158.334226,-158.36894
gdb_40,CCCO,1.3402,38.61,-0.2619,0.081,0.3429,382.8628,0.108241,18.431,-194.261089,-194.255495,-194.254551,-194.28893
gdb_57,CC(=O)C#N,3.3351,37.08,-0.3007,-0.0889,0.2118,397.7757,0.05451,16.963,-246.027383,-246.022024,-246.02108,-246.055769
gdb_70,CN(C)C=O,3.7163,44.42,-0.2424,0.0327,0.2751,441.85,0.10227,19.918,-248.430371,-248.424309,-248.423365,-248.459383
gdb_73,CCC(=O)N,3.499,42.54,-0.2438,0.0355,0.2793,457.447,0.101847,21.374,-248.448467,-248.441988,-248.441044,-248.478935
gdb_93,C1C(=O)CN1,2.5257,39.34,-0.2437,-0.0258,0.2179,359.152,0.07965,16.083,-247.190194,-247.185543,-247.184599,-247.217688
gdb_96,CC1CCO1,1.6826,45.72,-0.241,0.0915,0.3325,407.6909,0.11459,18.582,-232.33123,-232.325877,-232.324933,-232.359589
gdb_97,CC1COC1,1.8995,45.45,-0.2419,0.0814,0.3233,414.1575,0.114694,18.443,-232.325947,-232.320548,-232.319604,-232.354576
gdb_104,OC1CC1O,2.4925,38.43,-0.2369,0.0642,0.3011,370.2795,0.090396,19.173,-268.251114,-268.245852,-268.244908,-268.278934
gdb_106,C1C2CC1O2,1.8725,42.39,-0.2352,0.0994,0.3346,298.4772,0.092109,14.648,-231.069318,-231.065445,-231.064501,-231.095721
gdb_116,CC#CC#N,5.1545,47.82,-0.2871,-0.0377,0.2494,553.2094,0.055566,17.054,-208.863267,-208.85788,-208.856936,-208.890804
gdb_120,CN=COC,2.9091,46.78,-0.2481,0.0251,0.2732,567.546,0.10111,20.343,-248.395289,-248.388824,-248.38788,-248.425185
gdb_128,CCCC=O,2.7552,47.03,-0.2487,-0.0195,0.2292,599.5103,0.112697,20.766,-232.36363,-232.357283,-232.356339,-232.39356
gdb_134,CCCCO,1.3815,49.63,-0.2615,0.0813,0.3428,669.0122,0.136722,23.274,-233.549368,-233.542485,-233.54154,-233.579515
gdb_143,N#CC1CN1,2.8377,40.21,-0.2775,0.0076,0.2851,386.5557,0.069125,15.572,-226.107205,-226.102575,-226.10163,-226.134578
gdb_151,CCN1CC1,1.0617,50.07,-0.2299,0.095,0.3249,474.34,0.126034,20.247,-212.439286,-212.433577,-212.432633,-212.467838
gdb_153,C1CC1CO,1.3201,46.01,-0.2601,0.079,0.339,468.6229,0.1143,20.059,-232.324966,-232.319256,-232.318312,-232.35363
gdb_154,OCC1CN1,2.9395,42.64,-0.2436,0.0677,0.3113,445.0397,0.103108,19.038,-248.364357,-248.358808,-248.357864,-248.392932
gdb_155,OCC1CO1,1.7822,38.7,-0.2641,0.0777,0.3418,424.287,0.090736,18.033,-268.248806,-268.243491,-268.242547,-268.277228
gdb_157,C1COC=N1,1.6299,38.7,-0.2479,0.0241,0.272,315.6279,0.081779,14.168,-247.215049,-247.210764,-247.20982,-247.242343
gdb_160,C1CCOC1,1.465,45.06,-0.2479,0.0825,0.3304,374.1439,0.116649,16.873,-232.351764,-232.346824,-232.34588,-232.380488
gdb_161,C1COCO1,1.3482,38.2,-0.2572,0.0865,0.3437,333.797,0.092697,15.172,-268.273739,-268.269015,-268.268071,-268.302293
gdb_164,C1CC2OC12,1.8518,41.8,-0.2517,0.0951,0.3468,317.7261,0.091787,15.427,-231.102112,-231.097923,-231.096979,-231.128841
